Accession (version),Accession,Old Family,Family
NC_002645.1,NC_002645,Coronaviridae,Coronaviridae
NC_028752.1,NC_028752,Coronaviridae,Coronaviridae
NC_006577.2,NC_006577,Coronaviridae,Coronaviridae
NC_005831.2,NC_005831,Coronaviridae,Coronaviridae
NC_023984.1,NC_023984,Picornaviridae,Picornaviridae
NC_023874.2,NC_023874,Circoviridae,Circoviridae
NC_022518.1,NC_022518,Retroviridae,Retroviridae
NC_030454.1,NC_030454,Picornaviridae,Picornaviridae
NC_004295.1,NC_004295,Parvoviridae,Parvoviridae
NC_035212.1,NC_035212,Circoviridae,Circoviridae
NC_035213.1,NC_035213,Circoviridae,Circoviridae
NC_035211.1,NC_035211,Circoviridae,Circoviridae
NC_007605.1,NC_007605,Orthoherpesviridae,Herpesviridae
NC_009334.1,NC_009334,Orthoherpesviridae,Herpesviridae
NC_009333.1,NC_009333,Orthoherpesviridae,Herpesviridae
NC_001802.1,NC_001802,Retroviridae,Retroviridae
NC_001722.1,NC_001722,Retroviridae,Retroviridae
NC_001460.1,NC_001460,Adenoviridae,Adenoviridae
AC_000005.1,AC_000005,Adenoviridae,Adenoviridae
AC_000010.1,AC_000010,Adenoviridae,Adenoviridae
AC_000018.1,AC_000018,Adenoviridae,Adenoviridae
AC_000019.1,AC_000019,Adenoviridae,Adenoviridae
NC_011202.1,NC_011202,Adenoviridae,Adenoviridae
NC_011203.1,NC_011203,Adenoviridae,Adenoviridae
NC_001405.1,NC_001405,Adenoviridae,Adenoviridae
AC_000007.1,AC_000007,Adenoviridae,Adenoviridae
AC_000008.1,AC_000008,Adenoviridae,Adenoviridae
AC_000017.1,AC_000017,Adenoviridae,Adenoviridae
NC_010956.1,NC_010956,Adenoviridae,Adenoviridae
AC_000006.1,AC_000006,Adenoviridae,Adenoviridae
NC_012959.1,NC_012959,Adenoviridae,Adenoviridae
AC_000011.1,AC_000011,Adenoviridae,Adenoviridae
NC_003266.2,NC_003266,Adenoviridae,Adenoviridae
NC_017825.1,NC_017825,Adenoviridae,Adenoviridae
NC_001454.1,NC_001454,Adenoviridae,Adenoviridae
NC_006879.1,NC_006879,Adenoviridae,Adenoviridae
NC_001781.1,NC_001781,Pneumoviridae,Pneumoviridae
NC_026946.1,NC_026946,Papillomaviridae,Papillomaviridae
NC_017994.1,NC_017994,Papillomaviridae,Papillomaviridae
NC_017996.1,NC_017996,Papillomaviridae,Papillomaviridae
NC_021483.1,NC_021483,Papillomaviridae,Papillomaviridae
NC_022095.1,NC_022095,Papillomaviridae,Papillomaviridae
NC_027528.1,NC_027528,Papillomaviridae,Papillomaviridae
NC_034616.1,NC_034616,Papillomaviridae,Papillomaviridae
NC_027779.1,NC_027779,Papillomaviridae,Papillomaviridae
NC_007026.1,NC_007026,Picobirnaviridae,Picobirnaviridae
NC_007027.1,NC_007027,Picobirnaviridae,Picobirnaviridae
NC_001538.1,NC_001538,Polyomaviridae,Polyomaviridae
NC_018102.1,NC_018102,Polyomaviridae,Polyomaviridae
NC_020106.1,NC_020106,Polyomaviridae,Polyomaviridae
NC_020890.1,NC_020890,Polyomaviridae,Polyomaviridae
NC_024118.1,NC_024118,Polyomaviridae,Polyomaviridae
NC_001699.1,NC_001699,Polyomaviridae,Polyomaviridae
NC_009238.1,NC_009238,Polyomaviridae,Polyomaviridae
NC_009539.1,NC_009539,Polyomaviridae,Polyomaviridae
NC_010277.2,NC_010277,Polyomaviridae,Polyomaviridae
NC_014406.1,NC_014406,Polyomaviridae,Polyomaviridae
NC_014407.1,NC_014407,Polyomaviridae,Polyomaviridae
NC_014361.1,NC_014361,Polyomaviridae,Polyomaviridae
NC_015150.1,NC_015150,Polyomaviridae,Polyomaviridae
NC_003461.1,NC_003461,Paramyxoviridae,Paramyxoviridae
NC_001796.2,NC_001796,Paramyxoviridae,Paramyxoviridae
NC_003443.1,NC_003443,Paramyxoviridae,Paramyxoviridae
NC_021928.1,NC_021928,Paramyxoviridae,Paramyxoviridae
NC_011800.1,NC_011800,Retroviridae,Retroviridae
NC_006064.1,NC_006064,Bromoviridae,Bromoviridae
NC_006065.1,NC_006065,Bromoviridae,Bromoviridae
NC_006066.1,NC_006066,Bromoviridae,Bromoviridae
NC_018668.1,NC_018668,Picornaviridae,Picornaviridae
NC_027715.1,NC_027715,Phenuiviridae,Peribunyaviridae
NC_027716.2,NC_027716,Phenuiviridae,Peribunyaviridae
NC_027717.1,NC_027717,Phenuiviridae,Peribunyaviridae
NC_012869.1,NC_012869,Betaflexiviridae,Betaflexiviridae
NC_006943.1,NC_006943,Alphaflexiviridae,Alphaflexiviridae
NC_022748.1,NC_022748,Parvoviridae,Parvoviridae
NC_007767.1,NC_007767,Baculoviridae,Baculoviridae
NC_008946.1,NC_008946,Polydnaviriformidae,Polydnaviridae
NC_008947.1,NC_008947,Polydnaviriformidae,Polydnaviridae
NC_008948.1,NC_008948,Polydnaviriformidae,Polydnaviridae
NC_008949.1,NC_008949,Polydnaviriformidae,Polydnaviridae
NC_008950.1,NC_008950,Polydnaviriformidae,Polydnaviridae
NC_008951.1,NC_008951,Polydnaviriformidae,Polydnaviridae
NC_008952.1,NC_008952,Polydnaviriformidae,Polydnaviridae
NC_008953.1,NC_008953,Polydnaviriformidae,Polydnaviridae
NC_008954.1,NC_008954,Polydnaviriformidae,Polydnaviridae
NC_008955.1,NC_008955,Polydnaviriformidae,Polydnaviridae
NC_008956.1,NC_008956,Polydnaviriformidae,Polydnaviridae
NC_008957.1,NC_008957,Polydnaviriformidae,Polydnaviridae
NC_008958.1,NC_008958,Polydnaviriformidae,Polydnaviridae
NC_008959.1,NC_008959,Polydnaviriformidae,Polydnaviridae
NC_008960.1,NC_008960,Polydnaviriformidae,Polydnaviridae
NC_008961.1,NC_008961,Polydnaviriformidae,Polydnaviridae
NC_008962.1,NC_008962,Polydnaviriformidae,Polydnaviridae
NC_008963.1,NC_008963,Polydnaviriformidae,Polydnaviridae
NC_008964.1,NC_008964,Polydnaviriformidae,Polydnaviridae
NC_008965.1,NC_008965,Polydnaviriformidae,Polydnaviridae
NC_008966.1,NC_008966,Polydnaviriformidae,Polydnaviridae
NC_008967.1,NC_008967,Polydnaviriformidae,Polydnaviridae
NC_008968.1,NC_008968,Polydnaviriformidae,Polydnaviridae
NC_008969.1,NC_008969,Polydnaviriformidae,Polydnaviridae
NC_008970.1,NC_008970,Polydnaviriformidae,Polydnaviridae
NC_008971.1,NC_008971,Polydnaviriformidae,Polydnaviridae
NC_008972.1,NC_008972,Polydnaviriformidae,Polydnaviridae
NC_008973.1,NC_008973,Polydnaviriformidae,Polydnaviridae
NC_008976.1,NC_008976,Polydnaviriformidae,Polydnaviridae
NC_008977.1,NC_008977,Polydnaviriformidae,Polydnaviridae
NC_008978.1,NC_008978,Polydnaviriformidae,Polydnaviridae
NC_008979.1,NC_008979,Polydnaviriformidae,Polydnaviridae
NC_008980.1,NC_008980,Polydnaviriformidae,Polydnaviridae
NC_008981.1,NC_008981,Polydnaviriformidae,Polydnaviridae
NC_008982.1,NC_008982,Polydnaviriformidae,Polydnaviridae
NC_008983.1,NC_008983,Polydnaviriformidae,Polydnaviridae
NC_008984.1,NC_008984,Polydnaviriformidae,Polydnaviridae
NC_008985.1,NC_008985,Polydnaviriformidae,Polydnaviridae
NC_008986.1,NC_008986,Polydnaviriformidae,Polydnaviridae
NC_008987.1,NC_008987,Polydnaviriformidae,Polydnaviridae
NC_008988.1,NC_008988,Polydnaviriformidae,Polydnaviridae
NC_008989.1,NC_008989,Polydnaviriformidae,Polydnaviridae
NC_008990.1,NC_008990,Polydnaviriformidae,Polydnaviridae
NC_008991.1,NC_008991,Polydnaviriformidae,Polydnaviridae
NC_008992.1,NC_008992,Polydnaviriformidae,Polydnaviridae
NC_008993.1,NC_008993,Polydnaviriformidae,Polydnaviridae
NC_008994.1,NC_008994,Polydnaviriformidae,Polydnaviridae
NC_008995.1,NC_008995,Polydnaviriformidae,Polydnaviridae
NC_008996.1,NC_008996,Polydnaviriformidae,Polydnaviridae
NC_008997.1,NC_008997,Polydnaviriformidae,Polydnaviridae
NC_008998.1,NC_008998,Polydnaviriformidae,Polydnaviridae
NC_008999.1,NC_008999,Polydnaviriformidae,Polydnaviridae
NC_009000.1,NC_009000,Polydnaviriformidae,Polydnaviridae
NC_009001.1,NC_009001,Polydnaviriformidae,Polydnaviridae
NC_009002.1,NC_009002,Polydnaviriformidae,Polydnaviridae
NC_009003.1,NC_009003,Polydnaviriformidae,Polydnaviridae
NC_001493.2,NC_001493,Alloherpesviridae,Alloherpesviridae
NC_025471.1,NC_025471,Unclassified,Siphoviridae
NC_018629.1,NC_018629,Rhabdoviridae,Rhabdoviridae
NC_024805.1,NC_024805,Flaviviridae,Flaviviridae
NC_034557.1,NC_034557,Hantaviridae,Hantaviridae
NC_034558.1,NC_034558,Hantaviridae,Hantaviridae
NC_034564.1,NC_034564,Hantaviridae,Hantaviridae
NC_030236.1,NC_030236,Potyviridae,Potyviridae
NC_003616.1,NC_003616,Tospoviridae,Tospoviridae
NC_003624.1,NC_003624,Tospoviridae,Tospoviridae
NC_003625.1,NC_003625,Tospoviridae,Tospoviridae
NC_001932.1,NC_001932,Geminiviridae,Geminiviridae
NC_001933.1,NC_001933,Geminiviridae,Geminiviridae
NC_003093.1,NC_003093,Alphaflexiviridae,Alphaflexiviridae
NC_032682.2,NC_032682,Circoviridae,Circoviridae
NC_004729.1,NC_004729,Virgaviridae,Virgaviridae
NC_004730.1,NC_004730,Virgaviridae,Virgaviridae
NC_001560.1,NC_001560,Rhabdoviridae,Rhabdoviridae
NC_004178.1,NC_004178,Birnaviridae,Birnaviridae
NC_004179.1,NC_004179,Birnaviridae,Birnaviridae
NC_003781.1,NC_003781,Iflaviridae,Iflaviridae
NC_001915.1,NC_001915,Birnaviridae,Birnaviridae
NC_001916.1,NC_001916,Birnaviridae,Birnaviridae
NC_006497.1,NC_006497,Orthomyxoviridae,Orthomyxoviridae
NC_006498.1,NC_006498,Orthomyxoviridae,Orthomyxoviridae
NC_006499.1,NC_006499,Orthomyxoviridae,Orthomyxoviridae
NC_006500.2,NC_006500,Orthomyxoviridae,Orthomyxoviridae
NC_006501.1,NC_006501,Orthomyxoviridae,Orthomyxoviridae
NC_006502.1,NC_006502,Orthomyxoviridae,Orthomyxoviridae
NC_006503.1,NC_006503,Orthomyxoviridae,Orthomyxoviridae
NC_006505.1,NC_006505,Orthomyxoviridae,Orthomyxoviridae
NC_003494.1,NC_003494,Iridoviridae,Iridoviridae
NC_004905.2,NC_004905,Orthomyxoviridae,Orthomyxoviridae
NC_004906.1,NC_004906,Orthomyxoviridae,Orthomyxoviridae
NC_004907.1,NC_004907,Orthomyxoviridae,Orthomyxoviridae
NC_004908.1,NC_004908,Orthomyxoviridae,Orthomyxoviridae
NC_004909.1,NC_004909,Orthomyxoviridae,Orthomyxoviridae
NC_004910.1,NC_004910,Orthomyxoviridae,Orthomyxoviridae
NC_004911.1,NC_004911,Orthomyxoviridae,Orthomyxoviridae
NC_004912.1,NC_004912,Orthomyxoviridae,Orthomyxoviridae
NC_002016.1,NC_002016,Orthomyxoviridae,Orthomyxoviridae
NC_002017.1,NC_002017,Orthomyxoviridae,Orthomyxoviridae
NC_002018.1,NC_002018,Orthomyxoviridae,Orthomyxoviridae
NC_002019.1,NC_002019,Orthomyxoviridae,Orthomyxoviridae
NC_002020.1,NC_002020,Orthomyxoviridae,Orthomyxoviridae
NC_002021.1,NC_002021,Orthomyxoviridae,Orthomyxoviridae
NC_002022.1,NC_002022,Orthomyxoviridae,Orthomyxoviridae
NC_002023.1,NC_002023,Orthomyxoviridae,Orthomyxoviridae
NC_007357.1,NC_007357,Orthomyxoviridae,Orthomyxoviridae
NC_007358.1,NC_007358,Orthomyxoviridae,Orthomyxoviridae
NC_007359.1,NC_007359,Orthomyxoviridae,Orthomyxoviridae
NC_007360.1,NC_007360,Orthomyxoviridae,Orthomyxoviridae
NC_007361.1,NC_007361,Orthomyxoviridae,Orthomyxoviridae
NC_007362.1,NC_007362,Orthomyxoviridae,Orthomyxoviridae
NC_007363.1,NC_007363,Orthomyxoviridae,Orthomyxoviridae
NC_007364.1,NC_007364,Orthomyxoviridae,Orthomyxoviridae
NC_007374.1,NC_007374,Orthomyxoviridae,Orthomyxoviridae
NC_007375.1,NC_007375,Orthomyxoviridae,Orthomyxoviridae
NC_007376.1,NC_007376,Orthomyxoviridae,Orthomyxoviridae
NC_007377.1,NC_007377,Orthomyxoviridae,Orthomyxoviridae
NC_007378.1,NC_007378,Orthomyxoviridae,Orthomyxoviridae
NC_007380.1,NC_007380,Orthomyxoviridae,Orthomyxoviridae
NC_007381.1,NC_007381,Orthomyxoviridae,Orthomyxoviridae
NC_007382.1,NC_007382,Orthomyxoviridae,Orthomyxoviridae
NC_007366.1,NC_007366,Orthomyxoviridae,Orthomyxoviridae
NC_007367.1,NC_007367,Orthomyxoviridae,Orthomyxoviridae
NC_007368.1,NC_007368,Orthomyxoviridae,Orthomyxoviridae
NC_007369.1,NC_007369,Orthomyxoviridae,Orthomyxoviridae
NC_007370.1,NC_007370,Orthomyxoviridae,Orthomyxoviridae
NC_007371.1,NC_007371,Orthomyxoviridae,Orthomyxoviridae
NC_007372.1,NC_007372,Orthomyxoviridae,Orthomyxoviridae
NC_007373.1,NC_007373,Orthomyxoviridae,Orthomyxoviridae
NC_026422.1,NC_026422,Orthomyxoviridae,Orthomyxoviridae
NC_026423.1,NC_026423,Orthomyxoviridae,Orthomyxoviridae
NC_026424.1,NC_026424,Orthomyxoviridae,Orthomyxoviridae
NC_026425.1,NC_026425,Orthomyxoviridae,Orthomyxoviridae
NC_026426.1,NC_026426,Orthomyxoviridae,Orthomyxoviridae
NC_026427.1,NC_026427,Orthomyxoviridae,Orthomyxoviridae
NC_026428.1,NC_026428,Orthomyxoviridae,Orthomyxoviridae
NC_026429.1,NC_026429,Orthomyxoviridae,Orthomyxoviridae
NC_026431.1,NC_026431,Orthomyxoviridae,Orthomyxoviridae
NC_026432.1,NC_026432,Orthomyxoviridae,Orthomyxoviridae
NC_026433.1,NC_026433,Orthomyxoviridae,Orthomyxoviridae
NC_026434.1,NC_026434,Orthomyxoviridae,Orthomyxoviridae
NC_026435.1,NC_026435,Orthomyxoviridae,Orthomyxoviridae
NC_026436.1,NC_026436,Orthomyxoviridae,Orthomyxoviridae
NC_026437.1,NC_026437,Orthomyxoviridae,Orthomyxoviridae
NC_026438.1,NC_026438,Orthomyxoviridae,Orthomyxoviridae
NC_002204.1,NC_002204,Orthomyxoviridae,Orthomyxoviridae
NC_002205.1,NC_002205,Orthomyxoviridae,Orthomyxoviridae
NC_002206.1,NC_002206,Orthomyxoviridae,Orthomyxoviridae
NC_002207.1,NC_002207,Orthomyxoviridae,Orthomyxoviridae
NC_002208.1,NC_002208,Orthomyxoviridae,Orthomyxoviridae
NC_002209.1,NC_002209,Orthomyxoviridae,Orthomyxoviridae
NC_002210.1,NC_002210,Orthomyxoviridae,Orthomyxoviridae
NC_002211.1,NC_002211,Orthomyxoviridae,Orthomyxoviridae
NC_006306.2,NC_006306,Orthomyxoviridae,Orthomyxoviridae
NC_006307.2,NC_006307,Orthomyxoviridae,Orthomyxoviridae
NC_006308.2,NC_006308,Orthomyxoviridae,Orthomyxoviridae
NC_006309.2,NC_006309,Orthomyxoviridae,Orthomyxoviridae
NC_006310.2,NC_006310,Orthomyxoviridae,Orthomyxoviridae
NC_006311.1,NC_006311,Orthomyxoviridae,Orthomyxoviridae
NC_006312.2,NC_006312,Orthomyxoviridae,Orthomyxoviridae
NC_036615.1,NC_036615,Orthomyxoviridae,Orthomyxoviridae
NC_036616.1,NC_036616,Orthomyxoviridae,Orthomyxoviridae
NC_036617.1,NC_036617,Orthomyxoviridae,Orthomyxoviridae
NC_036618.1,NC_036618,Orthomyxoviridae,Orthomyxoviridae
NC_036619.1,NC_036619,Orthomyxoviridae,Orthomyxoviridae
NC_036620.1,NC_036620,Orthomyxoviridae,Orthomyxoviridae
NC_036621.1,NC_036621,Orthomyxoviridae,Orthomyxoviridae
NC_028230.1,NC_028230,Rhabdoviridae,Rhabdoviridae
NC_023615.1,NC_023615,Iridoviridae,Iridoviridae
NC_008187.1,NC_008187,Iridoviridae,Iridoviridae
NC_023611.1,NC_023611,Iridoviridae,Iridoviridae
NC_024451.1,NC_024451,Iridoviridae,Iridoviridae
NC_003038.1,NC_003038,Iridoviridae,Iridoviridae
NC_015780.1,NC_015780,Iridoviridae,Iridoviridae
NC_021901.1,NC_021901,Iridoviridae,Iridoviridae
NC_023613.1,NC_023613,Iridoviridae,Iridoviridae
NC_011142.1,NC_011142,Unclassified,Myoviridae
NC_001605.1,NC_001605,Papillomaviridae,Papillomaviridae
NC_013022.2,NC_013022,Geminiviridae,Geminiviridae
NC_007905.1,NC_007905,Arenaviridae,Arenaviridae
NC_007906.1,NC_007906,Arenaviridae,Arenaviridae
NC_034544.1,NC_034544,Rhabdoviridae,Rhabdoviridae
NC_029076.1,NC_029076,Potyviridae,Potyviridae
NC_029799.1,NC_029799,Tospoviridae,Tospoviridae
NC_029800.1,NC_029800,Tospoviridae,Tospoviridae
NC_020809.1,NC_020809,Rhabdoviridae,Rhabdoviridae
NC_033277.1,NC_033277,Chrysoviridae,Chrysoviridae
NC_033278.1,NC_033278,Chrysoviridae,Chrysoviridae
NC_033317.1,NC_033317,Chrysoviridae,Chrysoviridae
NC_033318.1,NC_033318,Chrysoviridae,Chrysoviridae
NC_020806.1,NC_020806,Rhabdoviridae,Rhabdoviridae
NC_009025.1,NC_009025,Dicistroviridae,Dicistroviridae
NC_034536.1,NC_034536,Rhabdoviridae,Rhabdoviridae
NC_029691.1,NC_029691,Solemoviridae,Luteoviridae
NC_034243.1,NC_034243,Tombusviridae,Tombusviridae
NC_007454.1,NC_007454,Paramyxoviridae,Paramyxoviridae
NC_001494.1,NC_001494,Retroviridae,Retroviridae
NC_002187.1,NC_002187,Tombusviridae,Tombusviridae
NC_000947.1,NC_000947,Potyviridae,Potyviridae
NC_030926.1,NC_030926,Betaflexiviridae,Betaflexiviridae
NC_029051.1,NC_029051,Potyviridae,Potyviridae
NC_025725.1,NC_025725,Geminiviridae,Geminiviridae
NC_011268.1,NC_011268,Geminiviridae,Geminiviridae
NC_019034.1,NC_019034,Geminiviridae,Geminiviridae
NC_024012.1,NC_024012,Geminiviridae,Geminiviridae
NC_024013.1,NC_024013,Geminiviridae,Geminiviridae
NC_011309.2,NC_011309,Geminiviridae,Geminiviridae
NC_034398.1,NC_034398,Hantaviridae,Hantaviridae
NC_034399.1,NC_034399,Hantaviridae,Hantaviridae
NC_034404.1,NC_034404,Hantaviridae,Hantaviridae
NC_005287.1,NC_005287,Tombusviridae,Tombusviridae
NC_003606.1,NC_003606,Potyviridae,Potyviridae
NC_034538.1,NC_034538,Rhabdoviridae,Rhabdoviridae
NC_033699.1,NC_033699,Flaviviridae,Flaviviridae
NC_035472.1,NC_035472,Caulimoviridae,Caulimoviridae
NC_005080.1,NC_005080,Arenaviridae,Arenaviridae
NC_005081.1,NC_005081,Arenaviridae,Arenaviridae
NC_026620.1,NC_026620,Flaviviridae,Flaviviridae
NC_036604.1,NC_036604,Phenuiviridae,Phenuiviridae
NC_036605.1,NC_036605,Phenuiviridae,Phenuiviridae
NC_036606.1,NC_036606,Phenuiviridae,Phenuiviridae
NC_033724.1,NC_033724,Flaviviridae,Flaviviridae
NC_004199.1,NC_004199,Sedoreoviridae,Reoviridae
NC_004205.1,NC_004205,Sedoreoviridae,Reoviridae
NC_004206.1,NC_004206,Sedoreoviridae,Reoviridae
NC_004207.1,NC_004207,Sedoreoviridae,Reoviridae
NC_004208.1,NC_004208,Sedoreoviridae,Reoviridae
NC_004209.1,NC_004209,Sedoreoviridae,Reoviridae
NC_004210.1,NC_004210,Sedoreoviridae,Reoviridae
NC_004212.1,NC_004212,Sedoreoviridae,Reoviridae
NC_004213.1,NC_004213,Sedoreoviridae,Reoviridae
NC_004214.1,NC_004214,Sedoreoviridae,Reoviridae
NC_004215.1,NC_004215,Sedoreoviridae,Reoviridae
NC_004216.1,NC_004216,Sedoreoviridae,Reoviridae
NC_034499.1,NC_034499,Peribunyaviridae,Peribunyaviridae
NC_034500.1,NC_034500,Peribunyaviridae,Peribunyaviridae
NC_034501.1,NC_034501,Peribunyaviridae,Peribunyaviridae
NC_029053.1,NC_029053,Arteriviridae,Arteriviridae
NC_013006.1,NC_013006,Betaflexiviridae,Betaflexiviridae
NC_004540.1,NC_004540,Caulimoviridae,Caulimoviridae
NC_033829.1,NC_033829,Nudiviridae,Nudiviridae
NC_023439.1,NC_023439,Flaviviridae,Flaviviridae
NC_034450.1,NC_034450,Rhabdoviridae,Rhabdoviridae
NC_005064.1,NC_005064,Flaviviridae,Flaviviridae
NC_002232.1,NC_002232,Papillomaviridae,Papillomaviridae
NC_001541.1,NC_001541,Papillomaviridae,Papillomaviridae
NC_035118.1,NC_035118,Flaviviridae,Flaviviridae
NC_004807.1,NC_004807,Dicistroviridae,Dicistroviridae
NC_029932.1,NC_029932,Nairoviridae,Hantaviridae
NC_029933.1,NC_029933,Nairoviridae,Hantaviridae
NC_036636.1,NC_036636,Nairoviridae,Hantaviridae
NC_012533.1,NC_012533,Flaviviridae,Flaviviridae
NC_010435.1,NC_010435,Geminiviridae,Geminiviridae
NC_034559.1,NC_034559,Hantaviridae,Hantaviridae
NC_034560.1,NC_034560,Hantaviridae,Hantaviridae
NC_034565.1,NC_034565,Hantaviridae,Hantaviridae
NC_001746.1,NC_001746,Tymoviridae,Tymoviridae
NC_034451.1,NC_034451,Rhabdoviridae,Rhabdoviridae
NC_034388.1,NC_034388,Nairoviridae,Hantaviridae
NC_034389.1,NC_034389,Nairoviridae,Hantaviridae
NC_034392.1,NC_034392,Nairoviridae,Hantaviridae
NC_016159.1,NC_016159,Potyviridae,Potyviridae
NC_034540.1,NC_034540,Rhabdoviridae,Rhabdoviridae
NC_034518.1,NC_034518,Hantaviridae,Hantaviridae
NC_034519.1,NC_034519,Hantaviridae,Hantaviridae
NC_034527.1,NC_034527,Hantaviridae,Hantaviridae
NC_025385.1,NC_025385,Rhabdoviridae,Rhabdoviridae
NC_034458.1,NC_034458,Peribunyaviridae,Peribunyaviridae
NC_034460.1,NC_034460,Peribunyaviridae,Peribunyaviridae
NC_034468.1,NC_034468,Peribunyaviridae,Peribunyaviridae
NC_033553.1,NC_033553,Arteriviridae,Arteriviridae
NC_034455.1,NC_034455,Arteriviridae,Arteriviridae
NC_034462.1,NC_034462,Phasmaviridae,Phasmaviridae
NC_034463.1,NC_034463,Phasmaviridae,Phasmaviridae
NC_034469.1,NC_034469,Phasmaviridae,Phasmaviridae
NC_025396.1,NC_025396,Rhabdoviridae,Rhabdoviridae
NC_031749.1,NC_031749,Iflaviridae,Iflaviridae
NC_034549.1,NC_034549,Rhabdoviridae,Rhabdoviridae
NC_022343.1,NC_022343,Ackermannviridae,Myoviridae
NC_020204.1,NC_020204,Unclassified,Myoviridae
NC_027399.1,NC_027399,Unclassified,Myoviridae
NC_005857.1,NC_005857,Unclassified,Siphoviridae
NC_028659.1,NC_028659,Unclassified,Myoviridae
NC_031087.1,NC_031087,Straboviridae,Myoviridae
NC_028786.1,NC_028786,Drexlerviridae,Siphoviridae
NC_023567.2,NC_023567,Autographiviridae,Podoviridae
NC_028686.1,NC_028686,Straboviridae,Myoviridae
NC_011043.1,NC_011043,Autographiviridae,Podoviridae
NC_025418.1,NC_025418,Autographiviridae,Podoviridae
NC_028800.1,NC_028800,Autographiviridae,Podoviridae
NC_028760.1,NC_028760,Drexlerviridae,Siphoviridae
NC_028688.1,NC_028688,Autographiviridae,Podoviridae
NC_014036.1,NC_014036,Straboviridae,Myoviridae
NC_028664.1,NC_028664,Autographiviridae,Podoviridae
NC_020080.1,NC_020080,Straboviridae,Myoviridae
NC_013647.1,NC_013647,Autographiviridae,Podoviridae
NC_013649.2,NC_013649,Autographiviridae,Podoviridae
NC_029099.1,NC_029099,Drexlerviridae,Siphoviridae
NC_028977.1,NC_028977,Autographiviridae,Podoviridae
NC_028670.1,NC_028670,Autographiviridae,Podoviridae
NC_031025.1,NC_031025,Autographiviridae,Podoviridae
NC_031246.1,NC_031246,Autographiviridae,Podoviridae
NC_028750.1,NC_028750,Straboviridae,Myoviridae
NC_031095.1,NC_031095,Straboviridae,Myoviridae
NC_031053.1,NC_031053,Drexlerviridae,Siphoviridae
NC_028816.1,NC_028816,Autographiviridae,Podoviridae
NC_028870.1,NC_028870,Autographiviridae,Podoviridae
NC_028774.1,NC_028774,Drexlerviridae,Siphoviridae
NC_011534.1,NC_011534,Autographiviridae,Podoviridae
NC_027918.1,NC_027918,Picornaviridae,Picornaviridae
NC_009029.2,NC_009029,Flaviviridae,Flaviviridae
NC_032088.1,NC_032088,Flaviviridae,Flaviviridae
NC_025342.1,NC_025342,Rhabdoviridae,Rhabdoviridae
NC_007913.1,NC_007913,Potyviridae,Potyviridae
NC_028239.1,NC_028239,Rhabdoviridae,Rhabdoviridae
NC_017714.1,NC_017714,Rhabdoviridae,Rhabdoviridae
NC_009645.1,NC_009645,Geminiviridae,Geminiviridae
NC_009647.1,NC_009647,Geminiviridae,Geminiviridae
NC_028236.1,NC_028236,Rhabdoviridae,Rhabdoviridae
NC_003610.1,NC_003610,Virgaviridae,Virgaviridae
NC_027128.1,NC_027128,Iflaviridae,Iflaviridae
NC_034537.1,NC_034537,Rhabdoviridae,Rhabdoviridae
NC_017843.2,NC_017843,Circoviridae,Circoviridae
NC_001639.1,NC_001639,Arteriviridae,Arteriviridae
NC_004112.1,NC_004112,Unclassified,Siphoviridae
NC_028888.1,NC_028888,Unclassified,Siphoviridae
NC_028835.1,NC_028835,Unclassified,Siphoviridae
NC_028830.1,NC_028830,Unclassified,Siphoviridae
NC_028911.1,NC_028911,Unclassified,Siphoviridae
NC_028783.1,NC_028783,Unclassified,Siphoviridae
NC_022756.1,NC_022756,Unclassified,Siphoviridae
NC_019456.1,NC_019456,Unclassified,Siphoviridae
NC_007924.1,NC_007924,Unclassified,Myoviridae
NC_027990.1,NC_027990,Unclassified,Myoviridae
NC_005893.1,NC_005893,Unclassified,Siphoviridae
NC_007501.1,NC_007501,Unclassified,Siphoviridae
NC_026609.1,NC_026609,Unclassified,Siphoviridae
NC_019486.1,NC_019486,Unclassified,Siphoviridae
NC_029058.1,NC_029058,Herelleviridae,Myoviridae
NC_029068.1,NC_029068,Unclassified,Siphoviridae
NC_009554.1,NC_009554,Unclassified,Siphoviridae
NC_011104.1,NC_011104,Unclassified,Siphoviridae
NC_011801.1,NC_011801,Unclassified,Siphoviridae
NC_024206.1,NC_024206,Unclassified,Myoviridae
NC_000896.1,NC_000896,Unclassified,Siphoviridae
NC_019782.1,NC_019782,Unclassified,Myoviridae
NC_004305.1,NC_004305,Unclassified,Siphoviridae
NC_022775.1,NC_022775,Unclassified,Siphoviridae
NC_027982.1,NC_027982,Unclassified,Siphoviridae
NC_022757.1,NC_022757,Unclassified,Siphoviridae
NC_031036.1,NC_031036,Unclassified,Siphoviridae
NC_031125.1,NC_031125,Unclassified,Siphoviridae
NC_019489.1,NC_019489,Unclassified,Siphoviridae
NC_005354.1,NC_005354,Unclassified,Siphoviridae
NC_005355.1,NC_005355,Unclassified,Siphoviridae
NC_019916.1,NC_019916,Unclassified,Siphoviridae
NC_019449.1,NC_019449,Unclassified,Siphoviridae
NC_012530.1,NC_012530,Herelleviridae,Myoviridae
NC_025420.1,NC_025420,Unclassified,Siphoviridae
NC_025415.1,NC_025415,Unclassified,Siphoviridae
NC_025421.1,NC_025421,Unclassified,Siphoviridae
NC_022989.1,NC_022989,Unclassified,Siphoviridae
